ID	Name	NormalizedName	Type	NormalizedCategory	
d320	阿司匹林肠溶片(拜阿司匹灵)	阿司匹林	western	nd42	#N/A
d321	拜阿司匹林(阿司匹林肠溶)	阿司匹林	western	nd42	#N/A
d322	拜阿司匹灵肠溶片	阿司匹林	western	nd42	#N/A
d323	阿司匹林肠溶片	阿司匹林	western	nd42	#N/A
d324	阿糖胞苷针(赛德萨)(ARA-C)	阿糖胞苷	western	nd43	#N/A
d325	注射用阿糖胞苷(赛德萨)	阿糖胞苷	western	nd43	#N/A
d326	盐酸阿糖胞苷针(ARA-C)	阿糖胞苷	western	nd43	#N/A
d327	注射用盐酸阿糖胞苷	阿糖胞苷	western	nd43	#N/A
d328	阿替普酶针(爱通立)	阿替普酶	western	nd44	#N/A
d329	阿托伐他汀钙片(立普妥)	阿托伐他汀钙	western	nd45	#N/A
d330	阿托伐他汀钙片(立普妥)(10)	阿托伐他汀钙	western	nd45	#N/A
d331	阿托伐他汀钙片(立普妥)(20)	阿托伐他汀钙	western	nd45	#N/A
d332	阿托伐他汀钙片(立普妥10)	阿托伐他汀钙	western	nd45	#N/A
d333	阿托伐他汀钙片(立普妥20)	阿托伐他汀钙	western	nd45	#N/A
d334	立普妥片(阿托伐他汀钙)	阿托伐他汀钙	western	nd45	#N/A
d335	阿托伐他汀钙片(10)	阿托伐他汀钙	western	nd45	#N/A
d336	阿托伐他汀钙片(20)	阿托伐他汀钙	western	nd45	#N/A
d337	阿托品片	阿托品	western	nd46	#N/A
d338	阿托品针	阿托品	western	nd46	#N/A
d339	硫酸阿托品片	阿托品	western	nd46	#N/A
d340	硫酸阿托品针	阿托品	western	nd46	#N/A
d341	硫酸阿托品注射液	阿托品	western	nd46	#N/A
d342	阿维A胶囊(方希)	阿维A	western	nd47	#N/A
d343	阿昔洛韦注射液(博士多为)	阿昔洛韦	western	nd48	#N/A
d344	阿昔洛韦针(丽科欣)	阿昔洛韦	western	nd48	#N/A
d345	阿昔洛韦滴眼液	阿昔洛韦	western	nd48	#N/A
d346	阿昔洛韦乳膏	阿昔洛韦	western	nd48	#N/A
d347	阿昔洛韦软膏	阿昔洛韦	western	nd48	#N/A
d348	阿昔洛韦眼水	阿昔洛韦	western	nd48	#N/A
d349	注射用阿昔洛韦	阿昔洛韦	western	nd48	#N/A
d350	万唯针(盐酸阿扎司琼针)	阿扎司琼	western	nd49	#N/A
d351	盐酸阿扎司琼针(万唯)	阿扎司琼	western	nd49	#N/A
d352	埃索美拉唑镁肠溶片(耐信)	埃索美拉唑	western	nd50	#N/A
d353	耐信肠溶片(埃索美拉唑)	埃索美拉唑	western	nd50	#N/A
d354	耐信肠溶片(埃索美拉唑镁)	埃索美拉唑	western	nd50	#N/A
d355	耐信肠溶片(埃索美拉唑镁肠溶片)	埃索美拉唑	western	nd50	#N/A
d356	注射用埃索美拉唑钠(耐信)	埃索美拉唑	western	nd50	#N/A
d1739	艾洛松乳膏	艾洛松	western	nd356	#N/A
d359	艾司洛尔针(爱络)	艾司洛尔	western	nd51	#N/A
d360	艾司洛尔注射液(爱络)	艾司洛尔	western	nd51	#N/A
d361	盐酸艾司洛尔针(爱络)	艾司洛尔	western	nd51	#N/A
d362	盐酸艾司洛尔注射液	艾司洛尔	western	nd51	#N/A
d363	舒乐安定片(艾司唑仑)	艾司唑仑	western	nd52	#N/A
d364	艾司唑仑片(舒乐安定)	艾司唑仑	western	nd52	#N/A
d365	艾司唑仑片	艾司唑仑	western	nd52	#N/A
d373	安乃近片	安乃近	western	nd53	#N/A
d381	氨苯喋啶片	氨苯喋啶	western	nd54	#N/A
d382	注射用氨苄青霉素钠	氨苄西林钠	western	nd55	#N/A
d383	氨苄西林钠针	氨苄西林钠	western	nd55	#N/A
d384	注射用氨苄西林钠	氨苄西林钠	western	nd55	#N/A
d385	注射用氨苄西林钠舒巴坦钠(凯兰欣)	氨苄西林钠	western	nd55	#N/A
d386	注射用氨苄西林钠舒巴坦钠	氨苄西林钠	western	nd55	#N/A
d387	氨茶碱片	氨茶碱	western	nd56	#N/A
d388	氨茶碱针	氨茶碱	western	nd56	#N/A
d389	氨茶碱注射液	氨茶碱	western	nd56	#N/A
d390	鲁南贝特(氨酚氯宗分散片)	氨酚氯宗	western	nd57	#N/A
d391	氨酚羟考酮片(泰勒宁)	氨酚羟考酮	western	nd58	#N/A
d392	氨酚曲马多片(及通安)	氨酚曲马	western	nd59	#N/A
d393	氨酚曲马多片	氨酚曲马	western	nd59	#N/A
d394	氨酚伪麻美芬/氨麻美敏片(日夜百服咛)	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d395	氨酚伪麻美芬片(日片)/氨麻美敏片Ⅱ(夜片)	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d396	氨酚伪麻美芬片(日片)/氨麻美敏片Ⅱ(夜片)(日夜百服咛	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d397	日夜百服咛	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d398	日夜百服咛片	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d399	氨酚伪麻美芬片/氨麻美敏片Ⅱ	氨酚伪麻美芬/氨麻美敏片	western	nd60	#N/A
d400	氨基己酸针(EACA)	氨基己酸	western	nd61	#N/A
d401	氨基己酸注射液	氨基己酸	western	nd61	#N/A
d402	硫酸氨基葡萄糖钾胶囊(留)	氨基葡萄糖	western	nd62	#N/A
d403	硫酸氨基葡萄糖钾胶囊(留普安)	氨基葡萄糖	western	nd62	#N/A
d404	葡立胶囊(氨基葡萄)	氨基葡萄糖	western	nd62	#N/A
d405	葡立胶囊(盐酸氨基葡萄糖)	氨基葡萄糖	western	nd62	#N/A
d406	盐酸氨基葡萄糖胶囊(葡立)	氨基葡萄糖	western	nd62	#N/A
d407	(维固力)硫酸氨基葡萄糖胶囊	氨基葡萄糖	western	nd62	#N/A
d408	硫酸氨基葡萄糖胶囊(维固力)	氨基葡萄糖	western	nd62	#N/A
d409	维固力胶囊(原维骨力)	氨基葡萄糖	western	nd62	#N/A
d410	小乐敦眼水(复方氨基乙磺)	氨基乙磺	western	nd63	#N/A
d411	氨甲苯酸针(止血芳酸)	氨甲苯酸	western	nd64	#N/A
d412	氨甲环酸氯化钠注射液(贝瑞宁)	氨甲苯酸	western	nd64	#N/A
d413	氨甲环酸氯化钠注射液	氨甲苯酸	western	nd64	#N/A
d414	氨甲环酸氯化钠注射液(贝)	氨甲苯酸	western	nd64	#N/A
d415	氨咖黄敏胶囊	氨咖黄敏	western	nd65	#N/A
d416	氨酪酸片	氨酪酸	western	nd66	#N/A
d417	复方氨林巴比妥针	氨林巴比妥	western	nd67	#N/A
d418	复方氨林巴比妥注射液	氨林巴比妥	western	nd67	#N/A
d419	阿米福汀针(氨磷汀)	氨磷汀	western	nd68	#N/A
d420	氨磷汀针(阿米福汀)	氨磷汀	western	nd68	#N/A
d421	注射用氨磷汀(阿米福汀)	氨磷汀	western	nd68	#N/A
d422	注射用氨磷汀(采福)	氨磷汀	western	nd68	#N/A
d423	络活喜片(氨氯地平)	氨氯地平	western	nd69	#N/A
d424	络活喜片	氨氯地平	western	nd69	#N/A
d551	(络活喜)苯磺酸氨氯地平片	氨氯地平	western	nd69	#N/A
d552	苯磺酸氨氯地平片(络活喜)	氨氯地平	western	nd69	#N/A
d553	苯磺酸氨氯地平片(压氏达)	氨氯地平	western	nd69	#N/A
d554	(施慧达)苯磺酸左旋氨氯地平片	氨氯地平	western	nd69	#N/A
d555	苯磺酸左旋氨氯地平片(施慧达)	氨氯地平	western	nd69	#N/A
d3757	(玄宁)马来酸左旋氨氯地平片	氨氯地平	western	nd69	#N/A
d3758	马来酸左旋氨氯地平片(玄)	氨氯地平	western	nd69	#N/A
d3759	马来酸左旋氨氯地平片(玄宁)	氨氯地平	western	nd69	#N/A
d3760	马来酸左旋氨氯地平片	氨氯地平	western	nd69	#N/A
d425	氨氯地平阿托伐他汀钙片(多达一)	氨氯地平阿托伐他汀钙	western	nd70	#N/A
d426	氨氯地平阿托伐他汀钙片	氨氯地平阿托伐他汀钙	western	nd70	#N/A
d427	安普索片(氨溴索)	氨溴索	western	nd71	#N/A
d428	氨溴索(安普索)	氨溴索	western	nd71	#N/A
d429	盐酸氨溴索片(安普索)	氨溴索	western	nd71	#N/A
d430	沐舒坦针(氨溴索)	氨溴索	western	nd71	#N/A
d431	盐酸氨溴索注射液(沐舒坦)	氨溴索	western	nd71	#N/A
d432	盐酸氨溴索针(伊诺舒)	氨溴索	western	nd71	#N/A
d433	盐酸氨溴索注射液(伊诺舒)	氨溴索	western	nd71	#N/A
d434	伊诺舒(氨溴索注射液)	氨溴索	western	nd71	#N/A
d435	伊诺舒针(氨溴索)	氨溴索	western	nd71	#N/A
d436	伊诺舒注射液(氨溴索)	氨溴索	western	nd71	#N/A
d437	氨溴特罗口服液(易坦静)	氨溴索	western	nd71	#N/A
d438	胺碘酮片(可达龙)	胺碘酮	western	nd72	#N/A
d439	胺碘酮注射液(可达龙)	胺碘酮	western	nd72	#N/A
d440	可达龙片(胺碘酮)	胺碘酮	western	nd72	#N/A
d441	可达龙针(胺碘酮)	胺碘酮	western	nd72	#N/A
d442	盐酸胺碘酮片(可达龙)	胺碘酮	western	nd72	#N/A
d443	盐酸胺碘酮针(可达龙)	胺碘酮	western	nd72	#N/A
d444	盐酸胺碘酮注射液(可达龙)	胺碘酮	western	nd72	#N/A
d445	昂丹司琼注射液(欧贝)	昂丹司琼	western	nd73	#N/A
d446	欧贝针(昂丹司琼)	昂丹司琼	western	nd73	#N/A
d447	欧贝针(恩丹西酮)	昂丹司琼	western	nd73	#N/A
d448	盐酸昂丹司琼针(欧贝)	昂丹司琼	western	nd73	#N/A
d449	盐酸昂丹司琼注射液	昂丹司琼	western	nd73	#N/A
d450	盐酸奥布卡因滴眼液	奥布卡因	western	nd74	#N/A
d451	奥氮平片(欧兰宁)	奥氮平	western	nd75	#N/A
d452	奥氮平片(再普乐)	奥氮平	western	nd75	#N/A
d453	再普乐片(奥氮平)	奥氮平	western	nd75	#N/A
d454	奥卡西平片(曲莱)	奥卡西平	western	nd76	#N/A
d455	奥拉西坦注射液(倍清星)	奥拉西坦	western	nd77	#N/A
d456	倍清星针(奥拉西坦)	奥拉西坦	western	nd77	#N/A
d457	奥美拉唑钠针(奥西康)	奥美拉唑钠	western	nd78	#N/A
d458	奥西康针(奥美拉唑)	奥美拉唑钠	western	nd78	#N/A
d459	奥西康针(奥美拉唑钠)	奥美拉唑钠	western	nd78	#N/A
d460	注射用奥美拉唑钠(奥西康)	奥美拉唑钠	western	nd78	#N/A
d461	奥美拉唑钠肠溶片(利韦廷)	奥美拉唑钠	western	nd78	#N/A
d462	奥美拉唑肠溶胶囊(洛赛克)	奥美拉唑钠	western	nd78	#N/A
d463	奥美拉唑镁肠溶片(洛赛克M)	奥美拉唑钠	western	nd78	#N/A
d464	奥美拉唑镁肠溶片(洛赛克MUPS)	奥美拉唑钠	western	nd78	#N/A
d465	奥美拉唑钠针(洛赛克)	奥美拉唑钠	western	nd78	#N/A
d466	洛赛克针(奥美拉唑)	奥美拉唑钠	western	nd78	#N/A
d467	注射用奥美拉唑钠(洛赛克)	奥美拉唑钠	western	nd78	#N/A
d468	醋酸奥曲肽针(善宁)	奥曲肽	western	nd79	#N/A
d469	善宁针(奥曲肽)	奥曲肽	western	nd79	#N/A
d470	注射用奥曲肽(善宁)	奥曲肽	western	nd79	#N/A
d471	奥沙利铂针(艾恒)	奥沙利铂	western	nd80	#N/A
d472	注射用奥沙利铂(艾恒针)	奥沙利铂	western	nd80	#N/A
d473	奥沙利铂针(乐沙定)	奥沙利铂	western	nd80	#N/A
d474	达菲胶囊(奥司他韦)	奥司他韦	western	nd81	#N/A
d1893	磷酸奥司他韦胶囊(可威)	奥司他韦	western	nd81	#N/A
d475	奥立妥(奥硝唑氯化钠针)	奥硝唑	western	nd82	#N/A
d476	奥硝唑氯化钠针(奥立妥)	奥硝唑	western	nd82	#N/A
d477	奥硝唑氯化钠注射液(奥立)	奥硝唑	western	nd82	#N/A
d478	奥硝唑氯化钠注射液(奥立妥)	奥硝唑	western	nd82	#N/A
d479	奥硝唑片(衡博来)	奥硝唑	western	nd82	#N/A
d480	衡博来(奥硝唑片)	奥硝唑	western	nd82	#N/A
d481	奥硝唑氯化钠针(圣诺安)	奥硝唑	western	nd82	#N/A
d482	奥硝唑阴道泡腾片(圣诺康)	奥硝唑	western	nd82	#N/A
d483	奥硝唑氯化钠注射液	奥硝唑	western	nd82	#N/A
d484	奥硝唑片	奥硝唑	western	nd82	#N/A
d485	奥硝唑阴道泡腾片	奥硝唑	western	nd82	#N/A
d1831	巴氯芬片(力奥来素)	巴氯芬	western	nd377	#N/A
d492	巴曲酶注射液(迪芙)	巴曲酶	western	nd83	#N/A
d493	巴曲酶针(东菱迪芙)	巴曲酶	western	nd83	#N/A
d496	白介素-2注射液(新德路生)	白介素-2	western	nd84	#N/A
d497	新德路生针(白介素-2)	白介素-2	western	nd84	#N/A
d3689	巨和粒针(重组人白介素)	白介素-2	western	nd84	#N/A
d3690	重组人白介素-11针(巨和粒)	白介素-2	western	nd84	#N/A
d3691	注射用重组人白介素-11(巨和粒针)	白介素-2	western	nd84	#N/A
d3692	欣吉尔(重组人白介素-2针)	白介素-2	western	nd84	#N/A
d3693	重组人白介素-2(125ALa)针(欣吉尔)	白介素-2	western	nd84	#N/A
d3694	重组人白介素-2针(新德路生)	白介素-2	western	nd84	#N/A
d3695	注射用重组人白细胞介素-2(125ALa)(欣吉尔)	白介素-2	western	nd84	#N/A
d498	邦亭针(白眉蛇毒凝血酶)	白眉蛇毒凝血酶	western	nd85	#N/A
d499	邦亭针(白眉蛇毒血凝酶)	白眉蛇毒凝血酶	western	nd85	#N/A
d500	白眉蛇毒血凝酶针(邦亭)	白眉蛇毒凝血酶	western	nd85	#N/A
d505	白消安针(白舒非)	白舒非	western	nd86	#N/A
d514	邦迪苯扎氯铵贴	邦迪苯扎氯铵	western	nd89	#N/A
d515	胞磷胆碱钠针(CDPC)(天心)	胞磷胆碱钠	western	nd90	#N/A
d516	胞磷胆碱钠注射液	胞磷胆碱钠	western	nd90	#N/A
d517	胞磷胆碱钠注射液(CDPC)	胞磷胆碱钠	western	nd90	#N/A
d525	贝伐珠单抗注射液(安维汀)	贝伐珠单抗	western	nd91	#N/A
d526	贝那普利片(洛汀新)	贝那普利	western	nd92	#N/A
d527	洛汀新片(贝那普利)	贝那普利	western	nd92	#N/A
d528	盐酸贝那普利片(洛汀新)	贝那普利	western	nd92	#N/A
d529	盐酸贝那普利片	贝那普利	western	nd92	#N/A
d635	丙酸倍氯米松气雾剂(必可酮)	倍氯米松	western	nd121	#N/A
d636	丙酸倍氯米松鼻气雾剂(伯克纳)	倍氯米松	western	nd121	#N/A
d2082	倍他乐克缓释片(琥珀酸美)	倍他乐克	western	nd446	#N/A
d2083	倍他乐克片(美托洛尔)	倍他乐克	western	nd446	#N/A
d2084	琥珀酸美托洛尔缓释片(倍他乐克)	倍他乐克	western	nd446	#N/A
d2085	酒石酸美托洛尔片(倍他乐克)	倍他乐克	western	nd446	#N/A
d2086	美托洛尔片(倍他乐克)	倍他乐克	western	nd446	#N/A
d530	倍他米松针(得宝松)	倍他米松	western	nd93	#N/A
d531	得宝松针(倍他米松)	倍他米松	western	nd93	#N/A
d532	复方倍他米松针(得宝松)	倍他米松	western	nd93	#N/A
d533	复方倍他米松注射液(得宝松)	倍他米松	western	nd93	#N/A
d534	复方倍他米松注射液	倍他米松	western	nd93	#N/A
d535	倍他司汀口服液(西其汀)	倍他司汀	western	nd94	#N/A
d536	倍他司汀氯化钠针(西其汀)	倍他司汀	western	nd94	#N/A
d537	盐酸倍他司汀口服液	倍他司汀	western	nd94	#N/A
d538	盐酸倍他司汀氯化钠注射液	倍他司汀	western	nd94	#N/A
d1525	甲磺酸倍他司汀片(敏使郎)	倍他司汀	western	nd94	#N/A
d1526	甲磺酸倍他司汀片(敏使朗)	倍他司汀	western	nd94	#N/A
d1527	敏使朗片(甲磺酸倍他司汀)	倍他司汀	western	nd94	#N/A
d539	苯巴比妥钠针(鲁米那)	苯巴比妥	western	nd95	#N/A
d540	苯巴比妥钠针(鲁米那针)	苯巴比妥	western	nd95	#N/A
d541	苯巴比妥片(鲁米那)	苯巴比妥	western	nd95	#N/A
d542	苯巴比妥片(鲁米那片)	苯巴比妥	western	nd95	#N/A
d543	苯巴比妥片	苯巴比妥	western	nd95	#N/A
d544	留可然片(苯丁酸氮芥)	苯丁酸氮芥	western	nd96	#N/A
d545	苯海拉明针	苯海拉明	western	nd97	#N/A
d546	盐酸苯海拉明针	苯海拉明	western	nd97	#N/A
d547	苯海索片(安坦)	苯海索	western	nd98	#N/A
d548	盐酸苯海索片(安坦)	苯海索	western	nd98	#N/A
d549	盐酸苯海索片	苯海索	western	nd98	#N/A
d550	苯磺酸阿曲库铵针	苯磺酸阿曲库铵	western	nd99	#N/A
d556	苯妥英钠片(大仑丁)	苯妥英钠	western	nd100	#N/A
d557	苯妥英钠片	苯妥英钠	western	nd100	#N/A
d558	苯溴马隆片(尤诺)	苯溴马隆	western	nd101	#N/A
d559	苯溴马隆片	苯溴马隆	western	nd101	#N/A
d560	阿贝他片(苯扎贝特)	苯扎贝特	western	nd102	#N/A
d561	苯扎贝特片	苯扎贝特	western	nd102	#N/A
d562	0.10%苯扎氯铵溶液(优可适)	苯扎氯铵	western	nd103	#N/A
d563	苯扎氯铵贴(邦迪)	苯扎氯铵	western	nd103	#N/A
d564	苯扎氯铵贴	苯扎氯铵	western	nd103	#N/A
d565	0.1%苯扎溴铵消毒液(新洁而灭)	苯扎溴铵	western	nd104	#N/A
d574	比卡鲁胺片(康士得)	比卡鲁胺	western	nd105	#N/A
d575	康士得片(比卡鲁胺)	比卡鲁胺	western	nd105	#N/A
d576	比卡鲁胺片	比卡鲁胺	western	nd105	#N/A
d577	比沙可啶肠溶片(便塞停)	比沙可啶	western	nd106	#N/A
d578	比沙可啶片(便塞停)	比沙可啶	western	nd106	#N/A
d579	便塞停片(比沙可啶)	比沙可啶	western	nd106	#N/A
d1200	富马酸比索洛尔片(康忻)	比索洛尔	western	nd245	#N/A
d1201	康忻(富马酸比索洛尔片)	比索洛尔	western	nd245	#N/A
d580	吡贝地尔缓释片(泰舒达)	吡贝地尔	western	nd107	#N/A
d581	泰舒达缓释片(吡贝地尔)	吡贝地尔	western	nd107	#N/A
d582	盐酸吡格列酮片(艾可拓)	吡格列酮	western	nd108	#N/A
d583	盐酸吡格列酮片(艾汀)	吡格列酮	western	nd108	#N/A
d584	盐酸吡格列酮片(瑞彤)	吡格列酮	western	nd108	#N/A
d585	吡拉西坦片	吡拉西坦	western	nd109	#N/A
d586	吡硫翁锌气雾剂(适今可)	吡硫翁锌	western	nd110	#N/A
d587	吡罗昔康贴片	吡罗昔康	western	nd111	#N/A
d588	1%吡美莫司乳膏(爱宁达)	吡美莫司	western	nd112	#N/A
d589	白内停眼水	吡诺克辛钠	western	nd113	#N/A
d590	吡诺克辛钠滴眼液(白内停)	吡诺克辛钠	western	nd113	#N/A
d591	吡诺克辛钠眼水(白内停)	吡诺克辛钠	western	nd113	#N/A
d592	吡嗪酰胺片	吡嗪酰胺	western	nd114	#N/A
d593	盐酸吡柔比星针(THP)(海正)	吡柔比星	western	nd115	#N/A
d594	吡柔比星针(THP)	吡柔比星	western	nd115	#N/A
d595	盐酸吡柔比星针	吡柔比星	western	nd115	#N/A
d596	盐酸吡柔比星针(THP)	吡柔比星	western	nd115	#N/A
d597	注射用盐酸吡柔比星	吡柔比星	western	nd115	#N/A
d602	长效西林(苄星青霉素)针	苄星青霉素	western	nd116	#N/A
d603	苄星青霉素针	苄星青霉素	western	nd116	#N/A
d604	注射用苄星青霉素	苄星青霉素	western	nd116	#N/A
d607	艾达生(表柔比星)针	表柔比星	western	nd117	#N/A
d608	盐酸表柔比星针(艾达生)	表柔比星	western	nd117	#N/A
d609	注射用盐酸表柔比星(艾达生)	表柔比星	western	nd117	#N/A
d610	法玛新针(表柔比星)	表柔比星	western	nd117	#N/A
d611	盐酸表柔比星针(法玛新)	表柔比星	western	nd117	#N/A
d612	盐酸表柔比星注射液(法玛新)	表柔比星	western	nd117	#N/A
d614	奥迈必利缓释胶囊	别嘌醇	western	nd118	#N/A
d615	奥迈必利(别嘌醇缓释胶囊)	别嘌醇	western	nd118	#N/A
d616	奥迈必利缓释胶囊(别嘌醇)	别嘌醇	western	nd118	#N/A
d617	别嘌醇缓释胶囊(奥迈必利)	别嘌醇	western	nd118	#N/A
d618	别嘌醇缓释胶囊	别嘌醇	western	nd118	#N/A
d619	别嘌醇片	别嘌醇	western	nd118	#N/A
d125	20%丙氨酰谷氨酰胺针(力太)	丙氨酰谷氨酰胺	western	nd10	#N/A
d623	丙氨酰谷氨酰胺注射液(力太)	丙氨酰谷氨酰胺	western	nd10	#N/A
d624	乐维静(丙泊酚注射液)	丙泊酚	western	nd119	#N/A
d625	丙泊酚针(得普利麻)	丙泊酚	western	nd119	#N/A
d626	丙泊酚注射液(得普利麻)	丙泊酚	western	nd119	#N/A
d627	得普利麻(丙泊酚注射液)	丙泊酚	western	nd119	#N/A
d628	丙泊酚针(乐维静)	丙泊酚	western	nd119	#N/A
d629	丙泊酚注射液(乐维静)	丙泊酚	western	nd119	#N/A
d630	丙硫氧嘧啶片(进口)	丙硫氧嘧啶	western	nd120	#N/A
d631	丙基硫氧嘧啶片(PTU)	丙硫氧嘧啶	western	nd120	#N/A
d632	丙硫氧嘧啶片	丙硫氧嘧啶	western	nd120	#N/A
