drug-name	drug-type
潘氨酸钙	A
无水醋酸钙	A
各种钙盐的复方	A
乙酰丙酸钙	A
氯化钾	A
枸橼酸钾	A
酒石酸氢钾	A
碳酸氢钾	A
葡萄糖酸钾	A
氯化钾复方	A
氯化钠	A
硫酸锌	A
葡萄糖酸锌	A
锌蛋白复合物	A
氯化镁	A
葡萄糖酸镁	A
门冬氨酸镁	A
乳酸镁	A
乙酰丙酸镁	A
氧代脯氨酸镁	A
乳清酸镁	A
各种镁盐的复方	A
氟化物复方	A
硒酸纳	A
亚硒酸纳	A
雄诺龙（雄甾烷醇酮）	A
司坦唑醇	A
美雄酮（去氢甲睾酮）	A
美替诺龙	A
羟甲烯龙	A
奎勃龙	A
普拉睾酮	A
氧雄龙	A
诺乙雄龙	A
诺龙	A
乙雌烯醇	A
环戊丙羟勃龙	A
左卡尼汀	A
腺苷蛋氨酸	A
谷酰胺	A
巯乙胺	A
卡谷氨酸	A
甜菜碱	A
阿糖苷酶（阿糖脑苷脂酶）	A
伊米苷酶	A
α-半乳糖苷酶	A
β-半乳糖苷酶	A
粘多糖-L-艾杜糖醛酸水解酶	A
沙克罗酶	A
α-葡萄糖苷酶	A
加硫酶	A
艾杜硫酶	A
α-硫辛酸	A
茴三硫	A
苯基丁酸钠	A
尼替西农	A
醋酸锌	A
米格鲁特	A
沙丙蝶呤	A
HPN-100	A
双香豆素	B
苯茚二酮	B
华法林	B
苯丙香豆素	B
醋硝香豆素	B
双香豆乙酯	B
氯茚二酮	B
二苯茚酮	B
噻氯香豆素	B
肝素	B
抗凝血酶 III	B
达肝素	B
依诺肝素	B
那屈肝素	B
帕那肝素	B
瑞肝素	B
达那肝素	B
亭扎肝素	B
硫酸氨基脱氧葡聚糖	B
倍米肝素	B
肝素,复方	B
地他唑	B
氯克罗孟	B
吡考米特	B
氯吡格雷	B
噻氯匹定	B
双嘧达莫	B
卡巴匹林钙	B
依前列醇	B
吲哚布芬	B
伊洛前列素	B
阿昔单抗	B
阿洛普令	B
埃替巴肽	B
替罗非班	B
三氟柳	B
贝前列素	B
曲前列环素	B
普拉格雷	B
链激酶	B
阿替普酶	B
阿尼普酶	B
尿激酶	B
纤维蛋白溶酶	B
纤维蛋白酶	B
瑞替普酶	B
沙芦普酶	B
安克洛酶	B
重组人活化C蛋白	B
替奈普酶	B
丙种蛋白	B
地西卢定	B
来匹卢定	B
阿加曲班	B
美加群	B
西美加群	B
比伐卢定	B
达比加群酯	B
利伐沙班	B
阿哌沙班	B
去纤苷	B
硫酸软骨素	B
磺达肝素	B
氨基己酸	B
氨甲环酸	B
氨甲苯酸	B
抑肽酶	B
α1-抗胰蛋白酶	B
C1-抑制剂	B
卡莫司他	B
植物甲萘醌（维生素K1）	B
甲萘醌（维生素K3）	B
人纤维蛋白原	B
可吸收的明胶海绵	B
氧化纤维素	B
四半乳糖醛酸羟甲酯	B
凝血酶	B
胶原	B
海藻酸钙	B
在复方中的凝血因子Ⅸ, II, Ⅶ 和 Ⅹ	B
凝血因子Ⅷ	B
凝血因子Ⅷ抑制剂	B
凝血因子Ⅸ	B
凝血因子Ⅶ	B
维勒布兰德氏因子和凝血因子Ⅷ的复方	B
依他凝血素α	B
诺那凝血素α	B
酚磺乙胺（止血敏）	B
卡巴克络（安络血，肾上腺色素缩氨脲）	B
巴曲酶	B
罗米司亭	B
艾曲波帕	B
硫酸甘氨酸亚铁	B
富马酸亚铁	B
葡萄糖酸亚铁	B
碳酸亚铁	B
氯化亚铁	B
琥珀酸亚铁	B
硫酸亚铁	B
酒石酸亚铁	B
门冬氨酸亚铁	B
抗坏血酸亚铁	B
碘化亚铁	B
枸橼酸铁钠	B
含糖氧化铁	B
铁依地酸钠	B
氢氧化铁	B
糊精铁	B
枸橼酸铁	B
硫酸软骨素-铁络合物	B
乙酰转铁蛋白铁	B
蛋白琥珀酰铁	B
山梨醇-枸橼酸-铁络合物	B
山梨醇-葡萄糖酸-铁络合物	B
葡聚糖-铁络合物	B
葡萄糖酸钠-铁络合物	B
氨基酸亚铁络合物	B
铁、维生素B12和叶酸	B
铁、多种维生素和叶酸	B
铁和多种维生素	B
铁、多种维生素和矿物质	B
其它复方	B
氰钴胺	B
氰钴胺鞣酸复合物	B
羟钴胺	B
腺苷钴胺	B
甲钴胺(弥可保)	B
氰钴胺复方	B
羟钴胺复方	B
叶酸	B
叶酸复方	B
阿法依泊汀	B
阿法达依泊汀	B
甲氧基聚乙二醇化阿法依伯汀	B
白蛋白	B
其它血浆蛋白成分	B
氟烃类血液代用品	B
右旋糖酐	B
明胶	B
羟乙基淀粉	B
血红蛋白 crosfumaril	B
血红蛋白 raffimer	B
血红蛋白谷氨酸基团（牛）	B
红细胞	B
血小板	B
血浆	B
脐血干细胞	B
氨基酸	B
脂肪乳	B
碳水化合物	B
蛋白水解物	B
电解质	B
电解质和碳水化合物	B
氨丁三醇（缓血酸胺）	B
电解质与其它药物的复方	B
尿素	B
西吡铵	B
呋喃西林	B
磺胺甲二唑	B
牛磺罗定（滔罗定）	B
扁桃酸	B
诺昔硫脲	B
乳酸依沙吖啶	B
枸橼酸钠	B
碳酸氢钠	B
葡萄糖	B
山梨醇	B
甘氨酸	B
氯化铵	B
磷酸钾，含与其他钾盐的复方	B
醋酸钠	B
磷酸镁	B
氯化锌	B
甘油磷酸钠	B
乳酸钾	B
心麻痹治疗溶液	B
醋酸钾	B
复方电解质	B
盐酸精氨酸	B
丙氨酰谷酰胺	B
赖氨酸	B
氨丁三醇	B
纤维蛋白溶酶和脱氧核糖核酸酶	B
透明质酸酶	B
胰凝乳蛋白酶	B
胰蛋白酶	B
脱氧核糖核酸酶	B
菠萝蛋白酶	B
链激酶复方	B
正铁血红素	B
乙酰洋地黄毒苷	C
乙酰地高辛	C
洋地黄叶	C
洋地黄毒苷（狄吉妥辛）	C
地高辛（地谷新，异羟洋地黄毒苷）	C
毛花苷C（毛花洋地黄苷C，西地兰）	C
去乙酰毛花苷	C
甲地高辛	C
吉妥福酯	C
乙酰地高辛复方	C
海葱次苷（前海葱苷原，海葱次苷甲）	C
海葱次苷复方	C
G-毒毛旋花苷	C
磁麻苷	C
黄夹次苷	C
奎尼丁	C
普鲁卡因胺	C
丙吡胺（双异丙吡胺，异脉停，诺培心，达舒平）	C
司巴丁	C
阿义马林（阿吗灵，西萝芙木碱）	C
普拉马林	C
劳拉义明	C
奎尼丁与非安定药的复方	C
奎尼丁与安定药的复方	C
利多卡因（赛罗卡因）	C
美西律（慢心利，脉律定）	C
妥卡尼（妥卡胺）	C
阿普林定（安搏律定）	C
普罗帕酮（普鲁帕酮）	C
氟卡尼	C
劳卡尼（氯克律，洛卡尼啶）	C
恩卡尼	C
乙沙西嗪	C
胺碘酮（乙胺碘呋酮，胺碘达隆，安律酮）	C
托西溴苄铵	C
丁萘夫汀	C
多非利特	C
伊布利特	C
替地沙米	C
莫雷西嗪	C
西苯唑啉	C
依替福林	C
异丙肾上腺素（喘息定）	C
去甲肾上腺素	C
多巴胺	C
去甲苯福林	C
去氧肾上腺素	C
多巴酚丁胺	C
奥昔君	C
间羟胺（阿拉明）	C
甲氧明（美速克新命，甲氧胺）	C
美芬丁胺	C
二甲福林	C
普瑞特罗	C
多培沙明	C
吉培福林	C
异波帕胺（多巴胺异酯）	C
米多君	C
奥克巴胺（去甲新福林，章鱼胺）	C
非诺多泮	C
咖啡君（咖啡麻黄碱，去甲麻黄茶碱）	C
阿布他明	C
茶碱那林（去甲肾上腺素茶碱）	C
依替福林复方	C
氨力农（氨联吡啶酮，氨利酮）	C
米力农	C
依诺昔酮	C
布拉地新	C
血管紧张素胺（增血压素）	C
扎莫特罗	C
左西孟旦	C
硝酸甘油（三硝酸甘油酯）	C
二硝酸甲基丙基丙二醇酯	C
戊四硝酯	C
丙帕硝酯（硝二羟甲丁醇）	C
二硝酸异山梨酯（硝异梨醇，消心痛）	C
三乙硝胺（三硝乙醇胺）	C
赤藓醇四硝酸酯	C
单硝酸异山梨酯	C
复方中的有机硝酸酯	C
替尼曲明	C
三硝酸甘油酯，复方	C
二硝酸甲基丙基丙二醇酯，复方	C
戊四硝酯，复方	C
丙帕硝酯，复方	C
二硝酸异山梨酯，复方	C
三乙硝胺，复方	C
赤藓醇四硝酸酯，复方	C
在与安定药的复方中的有机硝酸酯	C
氟司喹南	C
托西硝乙胺	C
普尼拉明	C
奥昔非君（麻黄苯丙酮）	C
苯碘达隆（碘苯呋酮）	C
卡波罗孟（延心痛）	C
海索苯定	C
依他苯酮（乙胺苯丙酮）	C
辛胺醇（氨甲庚醇）	C
伊莫拉明	C
地拉卓（克冠二氮卓）	C
曲匹地尔	C
吗多明（脉心导敏，吗导敏）	C
乙氧黄酮	C
桂哌酯	C
氯达香豆素	C
尼可地尔	C
林西多明	C
奈西立肽	C
托西硝乙胺，复方	C
普尼拉明，复方	C
奥昔非君，复方	C
苯碘达隆，复方	C
前列地尔	C
樟脑	C
吲哚美辛	C
山楂苷	C
肉醇磷酯	C
磷肌酸	C
二磷酸果糖	C
泛癸利酮（癸烯醌,辅酶Q10）	C
腺苷	C
替拉西嗪	C
阿卡地新	C
曲美他嗪（三甲氧苄嗪）	C
布洛芬	C
伊伐雷定	C
雷诺嗪	C
艾卡替班	C
米屈肼	C
瑞西那明	C
利舍平（利血平）	C
蛇根木生物碱复方	C
蛇根木生物碱,全根	C
地舍平（去甲氧利血平）	C
美索舍平	C
比他舍平	C
利舍平复方	C
比他舍平复方	C
甲基左旋多巴	C
甲基多巴（消旋）	C
可乐定（可乐宁，血压得平，氯压平，可乐亭）	C
胍法辛	C
托洛尼定	C
莫索尼定	C
利美尼定	C
樟磺咪芬	C
美卡拉明（梅坎米胺，四甲双环庚胺）	C
哌唑嗪（脉宁平）	C
吲哚拉明（吲哚哌胺）	C
曲马唑嗪	C
多沙唑嗪	C
乌拉地尔	C
倍他尼定（二甲苄胍）	C
胍乙啶	C
胍生	C
异喹胍（胍喹定）	C
胍氯酚	C
胍那佐定	C
胍诺沙苄（胍羟苯）	C
二氮嗪（氯甲苯噻嗪）	C
双肼屈嗪（双肼苯哒嗪，利普索）	C
肼屈嗪（肼酞嗪，肼苯哒嗪）	C
恩屈嗪	C
卡屈嗪	C
米诺地尔（长压定，敏乐定）	C
硝普盐	C
吡那地尔	C
藜芦	C
甲酪氨酸	C
帕吉林（优降宁）	C
酮色林	C
波生坦	C
安利生坦	C
西他生坦	C
利舍平和利尿药	C
瑞西那明和利尿药	C
地舍平和利尿药	C
美索舍平和利尿药	C
比他舍平和利尿药	C
蛇根木生物碱,全根和利尿药	C
昔洛舍平和利尿药	C
蛇根木生物碱和利尿药的复方,含其它复方	C
利舍平和利尿药以及其它药物的复方	C
瑞西那明和利尿药以及其它药物的复方	C
利舍平和利尿药以及与安定药的复方	C
甲基左旋多巴和利尿药	C
可乐定和利尿药	C
莫索尼定和利尿药	C
可乐定和利尿药以及其它药物的复方	C
哌唑嗪和利尿药	C
胍乙啶和利尿药	C
双肼屈嗪和利尿药	C
肼屈嗪和利尿药	C
吡考屈嗪和利尿药	C
双肼屈嗪和利尿药以及其它药物的复方	C
吡考屈嗪和利尿药以及安定药的复方	C
藜芦和利尿药	C
帕吉林和利尿药	C
吡那地尔和利尿药	C
苄氟噻嗪	C
氢氟噻嗪	C
氢氯噻嗪	C
氯噻嗪（克尿塞，氯噻，克尿噻）	C
泊利噻嗪（多噻嗪）	C
三氯噻嗪（三氯甲噻嗪）	C
环戊噻嗪（环戊氯噻嗪）	C
甲氯噻嗪	C
环噻嗪	C
美布噻嗪	C
苄氟噻嗪和钾	C
氢氟噻嗪和钾	C
氢氯噻嗪和钾	C
氯噻嗪和钾	C
泊利噻嗪和钾	C
三氯噻嗪和钾	C
环戊噻嗪和钾	C
甲氯噻嗪和钾	C
环噻嗪和钾	C
氯噻嗪复方	C
氢氟噻嗪复方	C
喹乙宗	C
氯帕胺（氯哌胺）	C
氯噻酮	C
美夫西特	C
氯非那胺	C
美托拉宗	C
美替克仑	C
希帕胺	C
吲达帕胺（稳定血压灵，寿比山，茚磺苯酰）	C
氯索隆	C
芬喹唑	C
氯索隆与安定药的复方	C
喹乙宗和钾	C
氯帕胺和钾	C
氯噻酮和钾	C
美夫西特和钾	C
氯非那胺和钾	C
汞撒利	C
可可碱	C
西氯他宁	C
呋塞米	C
布美他尼（丁尿胺，丁苯氧酸）	C
吡咯他尼	C
托拉塞米	C
呋塞米和钾	C
布美他尼和钾	C
依他尼酸（利尿酸）	C
替尼酸	C
莫唑胺	C
地西唑林	C
螺内酯（安体舒通，螺旋内酯甾酮）	C
坎利酸钾	C
坎利酮	C
依普利酮	C
阿米洛利（氨氯吡脒）	C
氨苯喋啶	C
氢氯噻嗪和保钾药的复方	C
三氯噻嗪和保钾药的复方	C
依匹噻嗪和保钾药的复方	C
阿尔噻嗪和保钾药的复方	C
美布噻嗪和保钾药的复方	C
氯噻酮和保钾药的复方	C
环戊噻嗪和保钾药的复方	C
美托拉宗和保钾药的复方	C
苄氟噻嗪和保钾药的复方	C
布噻嗪和保钾药的复方	C
呋塞米和保钾药的复方	C
布美他尼和保钾药的复方	C
替伐普坦	C
康伐普坦	C
异克舒令（苯氧丙酚胺）	C
布酚宁（苯丙酚胺）	C
巴美生	C
酚妥拉明	C
妥拉唑啉	C
烟酸	C
烟醇	C
烟酸肌醇	C
环烟酯	C
喷替茶碱（己可可碱）	C
尼可占替诺	C
己酮可可碱	C
烟酸乙羟茶碱	C
二氢麦角毒甲磺酸盐	C
尼麦角林（麦角溴烟酯，瑟米恩）	C
双氢麦角汀	C
二氢麦角毒甲磺酸盐复方	C
双氢麦角汀复方	C
血管舒缓素	C
环扁桃酯（安替心，安脉生，舒心乐）	C
酚苄明（苯氧苄胺）	C
长春胺（长春蔓胺，长春花碱）	C
莫西赛利	C
苄环烷	C
长春布宁	C
舒考地尔	C
丁咯地尔	C
萘呋胺	C
布他拉胺（噁唑啉丁胺）	C
维司那定（氢吡豆素）	C
西替地尔（环己噻卓酯）	C
桂哌齐特	C
艾芬地尔	C
阿扎培汀（氮佩汀）	C
法舒地尔	C
氟米龙（氟甲松龙）	C
氟可龙	C
氟轻松（氟西奈德）	C
醋酸氟轻松（氟新诺龙酯）	C
丁卡因	C
苯佐卡因	C
辛可卡因（沙夫卡因）	C
普鲁卡因（奴弗卡因）	C
奥昔卡因	C
普莫卡因（普拉莫星）	C
硝酸甘油	C
硝酸异山梨酯	C
铝制剂	C
铋制剂复方	C
其它制剂复方	C
锌制剂	C
三苄糖苷	C
有机类肝素	C
阿朴酸钠	C
木聚硫钠	C
类肝素，复方	C
肝素复方	C
油酸单乙醇胺	C
聚桂醇400	C
转化糖	C
十四烷硫酸钠	C
苯酚	C
葡萄糖，复方	C
羟苯磺酸钙	C
羟苯磺酸钙，复方	C
乙吗芦丁	C
莫诺芦丁（单羟乙基芦丁）	C
地奥司明	C
曲克芦丁（三羟乙基芦丁）	C
海曲司明	C
乙吗芦丁，复方	C
地奥司明，复方	C
曲克芦丁复方	C
阿普洛尔（心得舒，烯丙心安）	C
氧烯洛尔（心得平，烯丙氧心安）	C
吲哚洛尔（吲哚心安，心得静，心得乐）	C
普萘洛尔	C
噻吗洛尔	C
索他洛尔	C
纳多洛尔（萘多醇，康加尔多）	C
甲吲洛尔（甲吲哚心安）	C
卡替洛尔	C
特他洛尔	C
波吲洛尔	C
布拉洛尔（氯甲苯心安）	C
喷布洛尔	C
氯拉洛尔	C
索他洛尔复方	C
普拉洛尔	C
美托洛尔	C
阿替洛尔	C
醋丁洛尔	C
倍他洛尔	C
贝凡洛尔	C
比索洛尔	C
塞利洛尔	C
艾司洛尔	C
依泮洛尔	C
S-阿替洛尔	C
奈必洛尔	C
他林洛尔	C
美托洛尔复方	C
比索洛尔，复方	C
拉贝洛尔（柳胺苄心定）	C
卡维地洛	C
氧烯洛尔和噻嗪类利尿药	C
普萘洛尔和噻嗪类利尿药	C
噻吗洛尔和噻嗪类利尿药	C
索他洛尔和噻嗪类利尿药	C
纳多洛尔和噻嗪类利尿药	C
美替洛尔和噻嗪类利尿药	C
美托洛尔和噻嗪类利尿药	C
阿替洛尔和噻嗪类利尿药	C
醋丁洛尔和噻嗪类利尿药	C
贝凡洛尔和噻嗪类利尿药	C
比索洛尔和噻嗪类利尿药	C
美托洛尔和噻嗪类利尿药,复方	C
拉贝洛尔和噻嗪类利尿药	C
氧烯洛尔和其它利尿药的复方	C
吲哚洛尔和其它利尿药的复方	C
波吲洛尔和其它利尿药的复方	C
喷布洛尔和其它利尿药的复方	C
美托洛尔和其它利尿药的复方	C
阿替洛尔和其它利尿药的复方	C
S-阿替洛尔和其它利尿药，复方	C
拉贝洛尔与其它利尿药的复方	C
噻吗洛尔、噻嗪类利尿药和其它利尿药的复方	C
阿替洛尔、噻嗪类利尿药和其它利尿药的复方	C
普萘洛尔和其它抗高血压药	C
美托洛尔和其它抗高血压药	C
阿替洛尔和其它抗高血压药	C
氨氯地平	C
非洛地平	C
伊拉地平	C
尼卡地平	C
硝苯地平（硝苯啶，硝苯吡啶，利心平）	C
尼莫地平	C
尼索地平	C
尼群地平（硝基乙吡啶）	C
拉西地平	C
尼伐地平	C
马尼地平	C
巴尼地平	C
乐卡地平	C
西尼地平	C
贝尼地平	C
硝苯地平，复方	C
米贝拉地尔	C
维拉帕米	C
戈洛帕米	C
维拉帕米，复方	C
地尔硫卓	C
芬地林（苯乙二苯丙胺）	C
苄普地尔	C
利多氟嗪	C
哌克昔林（双环己哌啶，心舒宁）	C
硝苯地平和利尿药	C
