d1	0.9%氯化钠注射液(安徽丰)
d131	20%葡萄糖注射液
d132	20%人血白蛋白针(贝林)
d133	20%人血白蛋白注射液(贝林)
d134	20%人血白蛋白针(德国贝林)
d135	20%人血白蛋白注射液
d136	20%脂肪乳针(英脱利匹特)
d137	20%脂肪乳针
d138	25%硫磺霜
d139	25%硫酸镁针
d140	25%硫酸镁注射液
d141	3％过氧化氢溶液
d142	3%硼酸溶液
d143	3M敷料
d144	4%硼酸乙醇溶液
d145	低钙腹膜透析液(乳酸盐-4.25%)
d146	4.25%低钙葡萄糖腹膜透析液针(乳酸盐)
d147	4.25%葡萄糖腹膜透析液针(乳酸盐)
d148	5%NaHCO3针
d149	5%甘露醇
d150	5%甘露醇针
d151	5%静脉人免疫球蛋白(pH4)
d152	5%静脉人免疫球蛋白(pH4)针
d153	5%静脉人免疫球蛋白(pH4)注射液
d154	5%葡萄糖氯化钠注射液(安)
d155	5%葡萄糖氯化钠注射液(安徽丰原100)
d156	5%葡萄糖注射液(安徽丰原100)
d157	5%葡萄糖氯化钠注射液(安徽丰原250)
d158	5%葡萄糖注射液(安徽丰原250)
d159	5%葡萄糖氯化钠注射液(安徽丰原500)
d160	5%葡萄糖注射液(安徽丰原500)
d161	5%葡萄糖注射液(安徽双鹤1)
d162	5%葡萄糖氯化钠注射液(安徽双鹤100)
d163	5%葡萄糖氯化钠针(GNS)(百特)
d164	5%葡萄糖针(G.S)(百特)
d165	5%葡萄糖注射液(广州百特250)
d166	5%葡萄糖注射液(广州百特500)
d167	5%葡萄糖氯化钠针(GNS)(江苏四环)
d168	5%葡萄糖氯化钠注射液(江苏四环)
d169	5%葡萄糖针(G.S)(江苏四环)
d170	5%葡萄糖注射液(江苏四环)
d171	5%葡萄糖氯化钠针(科伦)
d172	5%葡萄糖针(科伦)
d173	5%葡萄糖氯化钠针(科伦500)
d174	5%葡萄糖氯化钠注射液(青)
d175	5%葡萄糖注射液(青岛华仁1)
d176	5%葡萄糖氯化钠注射液(青岛华仁100)
d177	5%葡萄糖注射液(青岛华仁100)
d178	5%葡萄糖注射液(青岛华仁2)
d179	5%葡萄糖氯化钠注射液(青岛华仁250)
d180	5%葡萄糖注射液(青岛华仁250)
d181	5%葡萄糖注射液(青岛华仁5)
d182	5%葡萄糖氯化钠注射液(青岛华仁500)
d183	5%葡萄糖注射液(青岛华仁500)
d184	5%葡萄糖针(上海百特100)
d185	5%葡萄糖氯化钠针(上海百特250)
d186	5%葡萄糖氯化钠针(上海百特500)
d187	5%葡萄糖氯化钠针(GNS)(石家庄)
d188	5%葡萄糖氯化钠注射液(石家庄)
d189	5%葡萄糖针(G.S)(石家庄)
d190	5%葡萄糖注射液(石家庄100)
d191	5%葡萄糖注射液(石家庄250)
d192	5%葡萄糖注射液(石家庄500)
d193	5%葡萄糖氯化钠针(GNS)(四川)
d194	5%葡萄糖针(G.S)(四川)
d195	5%葡萄糖氯化钠针(GNS)(四川科伦)
d196	5%葡萄糖针(G.S)(四川科伦)
d197	5%葡萄糖注射液(G.S)(四川科伦)
d198	5%葡萄糖氯化钠针(GNS)(浙江)
d199	5%葡萄糖针(G.S)(浙江)
d200	5%葡萄糖氯化钠针(浙江济民)
d201	5%葡萄糖针(浙江济民)
d202	5%葡萄糖氯化钠针
d203	5%葡萄糖氯化钠注射液(100ml)
d204	5%葡萄糖氯化钠注射液(100ml)A
d205	5%葡萄糖氯化钠注射液(100ml)B
d206	5%葡萄糖氯化钠注射液(100ml)C
d207	5%葡萄糖氯化钠注射液(100ml)D
d208	5%葡萄糖氯化钠注射液(250ml)
d209	5%葡萄糖氯化钠注射液(250ml)A
d210	5%葡萄糖氯化钠注射液(250ml)B
d211	5%葡萄糖氯化钠注射液(250ml)C
d212	5%葡萄糖氯化钠注射液(250ml)D
d213	5%葡萄糖氯化钠注射液(500ml)
d214	5%葡萄糖氯化钠注射液(500ml)A
d215	5%葡萄糖氯化钠注射液(500ml)B
d216	5%葡萄糖氯化钠注射液(500ml)C
d217	5%葡萄糖氯化钠注射液(500ml)D
d218	5%葡萄糖注射液(100ml)
d219	5%葡萄糖注射液(100ml)A
d220	5%葡萄糖注射液(100ml)B
d221	5%葡萄糖注射液(100ml)C
d222	5%葡萄糖注射液(100ml)D
d223	5%葡萄糖注射液(250ml)
d224	5%葡萄糖注射液(250ml)A
d225	5%葡萄糖注射液(250ml)B
d226	5%葡萄糖注射液(250ml)C
d227	5%葡萄糖注射液(250ml)D
d228	5%葡萄糖注射液(500ml)
d229	5%葡萄糖注射液(500ml)A
d230	5%葡萄糖注射液(500ml)B
d231	5%葡萄糖注射液(500ml)C
d232	5%葡萄糖注射液(500ml)D
d233	5%静脉注射人免疫球蛋白针(伽玛莱士)
d234	5%人免疫球蛋白针(伽玛莱士)
d235	伽玛莱士(静注人免疫球蛋)
d236	静注人免疫球蛋白(Ph4)(伽玛莱士)
d237	5%碳酸氢钠针(S.B)(双鹤)
d238	5%碳酸氢钠针
d239	5%碳酸氢钠针(S.B)
d240	50%葡萄糖针(G.S)
d241	50%葡萄糖注射液
d242	60%复方泛影葡胺针
d243	701跌打镇痛膏
d244	75%乙醇(医药酒精)
d245	75%乙醇(医用酒精)
d246	注射用A群链球菌制剂(沙掊林)
d247	BD头皮式留置针
d248	百炎净片(CO-SMZ)
d249	HC-A离体肾保存液
d250	L-谷氨酰胺呱仑酸钠颗粒(麦滋林)
d251	麦滋林颗粒
d252	麦滋林颗粒(L-谷氨酰胺/薁磺)
d253	L-谷氨酰胺呱仑酸钠颗粒
d254	L-谷氨酰胺呱仑酸钠颗粒()
d255	阿苯达唑片(肠虫清)
d256	阿苯达唑片(史克肠虫清)
d257	阿苯达唑片
d258	肠虫清片
d259	阿德福韦酯片(代丁)
d260	阿德福韦酯片(贺维力)
d261	贺维力片(阿德福韦酯)
d262	阿法D3胶丸(阿法骨化醇)
d263	阿法骨化醇胶丸(阿法D3)
d264	阿法骨化醇软胶囊(阿法D3)
d265	阿法骨化醇软胶囊(阿法迪三)
d266	复方阿胶浆
d267	阿卡波糖片(拜唐苹)
d268	拜唐苹片(阿卡波糖)
d269	拜唐苹片(阿卡波糖片)
d270	阿卡波糖片(卡博平)
d271	卡博平片(阿卡波糖片)
d272	阿卡波糖胶囊
d273	阿仑膦酸钠片(福善美)
d274	福善美(阿仑膦酸钠片)
d275	阿仑膦酸钠片(固邦)
d276	固邦(阿仑膦酸钠)片
d277	固邦片(阿仑膦酸钠)
d278	阿仑膦酸钠片(天可)
d279	盐酸多柔比星针(阿霉素)(ADM)
d280	盐酸多柔比星脂质体注射液
d281	阿米三嗪萝巴新片(都可喜)
d282	都可喜片
d283	阿莫西林干混悬剂(昆明)
d284	阿莫西林分散片(利莎林)
d285	阿莫西林分散片
d286	注射用阿莫西林钠氟氯西林
d287	阿莫西林钠克拉维酸钾针(5:1)(安灭菌)
d288	安灭菌针(阿莫西林克拉)
d289	安灭菌针(阿莫西林克拉维酸钾)
d290	注射用阿莫西林克拉维酸钾(安灭菌)
d291	注射用阿莫西林钠克拉维酸钾(安灭菌)
d292	阿莫西林克拉维酸钾混悬剂(孚美)
d293	阿莫西林克拉维酸钾颗粒(孚美)
d294	注射用阿莫西林钠克拉维酸钾
d295	阿莫西林钠舒巴坦钠针(2:1)(来切利)
d296	来切利(阿莫西林舒巴坦钠)
d297	注射用阿莫西林舒巴坦(来切利)
d298	阿莫西林双氯西林胶囊(澳广)
d299	阿莫西林双氯西林钠胶囊(澳广)
d300	澳广胶囊(阿莫西林双氯)
d301	阿莫西林/双氯西林钠胶囊()
d302	阿那曲唑片(瑞宁得)
d303	瑞宁得(阿那曲唑片)
d304	阿普唑仑片(佳乐定)
d305	阿普唑仑片
d306	阿奇霉素注射液(芙琦星)
d307	阿奇霉素分散片(丽珠)
d308	阿奇霉素分散片(丽珠奇乐)
d309	丽珠奇乐(阿奇霉素分)
d310	阿奇霉素干混悬剂(希舒美)
d311	阿奇霉素片(希舒美)
d312	希舒美片(阿奇霉素)
d313	注射用阿奇霉素(希舒美)
d314	阿奇霉素注射液
d315	注射用阿奇霉素
d316	希舒美片
d317	盐酸阿柔比星针(ACR)
d318	阿司匹林泡腾片(巴米尔)
d319	阿司匹林肠溶片(拜阿司匹)
d320	阿司匹林肠溶片(拜阿司匹灵)
d321	拜阿司匹林(阿司匹林肠溶)
d322	拜阿司匹灵肠溶片
d323	阿司匹林肠溶片
d324	阿糖胞苷针(赛德萨)(ARA-C)
d325	注射用阿糖胞苷(赛德萨)
d326	盐酸阿糖胞苷针(ARA-C)
d327	注射用盐酸阿糖胞苷
d328	阿替普酶针(爱通立)
d329	阿托伐他汀钙片(立普妥)
d330	阿托伐他汀钙片(立普妥)(10)
d331	阿托伐他汀钙片(立普妥)(20)
d332	阿托伐他汀钙片(立普妥10)
d333	阿托伐他汀钙片(立普妥20)
d334	立普妥片(阿托伐他汀钙)
d335	阿托伐他汀钙片(10)
d336	阿托伐他汀钙片(20)
d337	阿托品片
d338	阿托品针
d339	硫酸阿托品片
d340	硫酸阿托品针
d341	硫酸阿托品注射液
d342	阿维A胶囊(方希)
d343	阿昔洛韦注射液(博士多为)
d344	阿昔洛韦针(丽科欣)
d345	阿昔洛韦滴眼液
d346	阿昔洛韦乳膏
d347	阿昔洛韦软膏
d348	阿昔洛韦眼水
d349	注射用阿昔洛韦
d350	万唯针(盐酸阿扎司琼针)
d351	盐酸阿扎司琼针(万唯)
d352	埃索美拉唑镁肠溶片(耐信)
d353	耐信肠溶片(埃索美拉唑)
d354	耐信肠溶片(埃索美拉唑镁)
d355	耐信肠溶片(埃索美拉唑镁肠溶片)
d356	注射用埃索美拉唑钠(耐信)
d357	艾迪针
d358	艾迪注射液
d359	艾司洛尔针(爱络)
d360	艾司洛尔注射液(爱络)
d361	盐酸艾司洛尔针(爱络)
d362	盐酸艾司洛尔注射液
d363	舒乐安定片(艾司唑仑)
d364	艾司唑仑片(舒乐安定)
d365	艾司唑仑片
d366	艾条
d367	安儿宁颗粒
d368	安宫牛黄胶囊
d369	安宫牛黄丸
d370	安宫牛黄丸(同仁堂)
d371	安康欣胶囊
d372	安络化纤丸
d373	安乃近片
d374	安脑片
d375	安神补脑口服液
d376	安神补脑液
d377	桉柠蒎肠溶软胶囊(切诺)
d378	切诺(桉柠蒎肠溶软胶囊)
d379	切诺肠溶软胶囊(桉柠蒎)
d380	桉柠蒎肠溶软胶囊
d381	氨苯喋啶片
d382	注射用氨苄青霉素钠
d383	氨苄西林钠针
d384	注射用氨苄西林钠
d385	注射用氨苄西林钠舒巴坦钠(凯兰欣)
d386	注射用氨苄西林钠舒巴坦钠
d387	氨茶碱片
d388	氨茶碱针
d389	氨茶碱注射液
d390	鲁南贝特(氨酚氯宗分散片)
d391	氨酚羟考酮片(泰勒宁)
d392	氨酚曲马多片(及通安)
d393	氨酚曲马多片
d394	氨酚伪麻美芬/氨麻美敏片(日夜百服咛)
d395	氨酚伪麻美芬片(日片)/氨麻美敏片Ⅱ(夜片)
d396	氨酚伪麻美芬片(日片)/氨麻美敏片Ⅱ(夜片)(日夜百服咛
d397	日夜百服咛
d398	日夜百服咛片
d399	氨酚伪麻美芬片/氨麻美敏片Ⅱ
d400	氨基己酸针(EACA)
d401	氨基己酸注射液
d402	硫酸氨基葡萄糖钾胶囊(留)
d403	硫酸氨基葡萄糖钾胶囊(留普安)
d404	葡立胶囊(氨基葡萄)
d405	葡立胶囊(盐酸氨基葡萄糖)
d406	盐酸氨基葡萄糖胶囊(葡立)
d407	(维固力)硫酸氨基葡萄糖胶囊
d408	硫酸氨基葡萄糖胶囊(维固力)
d409	维固力胶囊(原维骨力)
d410	小乐敦眼水(复方氨基乙磺)
d411	氨甲苯酸针(止血芳酸)
d412	氨甲环酸氯化钠注射液(贝瑞宁)
d413	氨甲环酸氯化钠注射液
d414	氨甲环酸氯化钠注射液(贝)
d415	氨咖黄敏胶囊
d416	氨酪酸片
d417	复方氨林巴比妥针
d418	复方氨林巴比妥注射液
d419	阿米福汀针(氨磷汀)
d420	氨磷汀针(阿米福汀)
d421	注射用氨磷汀(阿米福汀)
d422	注射用氨磷汀(采福)
d423	络活喜片(氨氯地平)
d424	络活喜片
d425	氨氯地平阿托伐他汀钙片(多达一)
d426	氨氯地平阿托伐他汀钙片
d427	安普索片(氨溴索)
d428	氨溴索(安普索)
d429	盐酸氨溴索片(安普索)
d430	沐舒坦针(氨溴索)
d431	盐酸氨溴索注射液(沐舒坦)
d432	盐酸氨溴索针(伊诺舒)
d433	盐酸氨溴索注射液(伊诺舒)
d434	伊诺舒(氨溴索注射液)
d435	伊诺舒针(氨溴索)
d436	伊诺舒注射液(氨溴索)
d437	氨溴特罗口服液(易坦静)
d438	胺碘酮片(可达龙)
d439	胺碘酮注射液(可达龙)
d440	可达龙片(胺碘酮)
d441	可达龙针(胺碘酮)
d442	盐酸胺碘酮片(可达龙)
d443	盐酸胺碘酮针(可达龙)
d444	盐酸胺碘酮注射液(可达龙)
d445	昂丹司琼注射液(欧贝)
d446	欧贝针(昂丹司琼)
d447	欧贝针(恩丹西酮)
d448	盐酸昂丹司琼针(欧贝)
d449	盐酸昂丹司琼注射液
d450	盐酸奥布卡因滴眼液
d451	奥氮平片(欧兰宁)
d452	奥氮平片(再普乐)
d453	再普乐片(奥氮平)
d454	奥卡西平片(曲莱)
d455	奥拉西坦注射液(倍清星)
d456	倍清星针(奥拉西坦)
d457	奥美拉唑钠针(奥西康)
d458	奥西康针(奥美拉唑)
d459	奥西康针(奥美拉唑钠)
d460	注射用奥美拉唑钠(奥西康)
d461	奥美拉唑钠肠溶片(利韦廷)
d462	奥美拉唑肠溶胶囊(洛赛克)
d463	奥美拉唑镁肠溶片(洛赛克M)
d464	奥美拉唑镁肠溶片(洛赛克MUPS)
d465	奥美拉唑钠针(洛赛克)
d466	洛赛克针(奥美拉唑)
d467	注射用奥美拉唑钠(洛赛克)
d468	醋酸奥曲肽针(善宁)
d469	善宁针(奥曲肽)
d470	注射用奥曲肽(善宁)
d471	奥沙利铂针(艾恒)
d472	注射用奥沙利铂(艾恒针)
d473	奥沙利铂针(乐沙定)
d474	达菲胶囊(奥司他韦)
d475	奥立妥(奥硝唑氯化钠针)
d476	奥硝唑氯化钠针(奥立妥)
d477	奥硝唑氯化钠注射液(奥立)
d478	奥硝唑氯化钠注射液(奥立妥)
d479	奥硝唑片(衡博来)
d480	衡博来(奥硝唑片)
d481	奥硝唑氯化钠针(圣诺安)
d482	奥硝唑阴道泡腾片(圣诺康)
d483	奥硝唑氯化钠注射液
d484	奥硝唑片
d485	奥硝唑阴道泡腾片
d486	八宝丹胶囊
d487	八珍颗粒
d488	八珍颗粒(无糖)
d489	八珍片
d490	八正合剂
d491	八正合剂(太极)
d492	巴曲酶注射液(迪芙)
d493	巴曲酶针(东菱迪芙)
d494	白癜片
d495	白芨末
d496	白介素-2注射液(新德路生)
d497	新德路生针(白介素-2)
d498	邦亭针(白眉蛇毒凝血酶)
d499	邦亭针(白眉蛇毒血凝酶)
d500	白眉蛇毒血凝酶针(邦亭)
d501	白芍总苷胶囊
d502	白芍总苷胶囊(帕夫林)
d503	白芍总苷胶囊(帕夫林胶囊)
d504	白蚀酊
d505	白消安针(白舒非)
d506	百乐眠胶囊
d507	百普力肠内营养混悬液
d508	百癣夏塔热片
d509	复方斑蝥胶囊(康赛迪)
d510	复方斑蝥胶囊
d511	板兰根颗粒
d512	板蓝根颗粒
d513	板蓝根颗粒(香雪)
d514	邦迪苯扎氯铵贴
d515	胞磷胆碱钠针(CDPC)(天心)
d516	胞磷胆碱钠注射液
d517	胞磷胆碱钠注射液(CDPC)
d518	复方薄荷脑滴鼻液
d519	薄芝糖肽针(赛升)
d520	保妇康栓
d521	保和堂珠珀猴枣散
d522	保济口服液
d523	保济丸
d524	葆宫止血颗粒
d525	贝伐珠单抗注射液(安维汀)
d526	贝那普利片(洛汀新)
d527	洛汀新片(贝那普利)
d528	盐酸贝那普利片(洛汀新)
d529	盐酸贝那普利片
d530	倍他米松针(得宝松)
d531	得宝松针(倍他米松)
d532	复方倍他米松针(得宝松)
d533	复方倍他米松注射液(得宝松)
d534	复方倍他米松注射液
d535	倍他司汀口服液(西其汀)
d536	倍他司汀氯化钠针(西其汀)
d537	盐酸倍他司汀口服液
d538	盐酸倍他司汀氯化钠注射液
d539	苯巴比妥钠针(鲁米那)
d540	苯巴比妥钠针(鲁米那针)
d541	苯巴比妥片(鲁米那)
d542	苯巴比妥片(鲁米那片)
d543	苯巴比妥片
d544	留可然片(苯丁酸氮芥)
d545	苯海拉明针
d546	盐酸苯海拉明针
d547	苯海索片(安坦)
d548	盐酸苯海索片(安坦)
d549	盐酸苯海索片
d550	苯磺酸阿曲库铵针
d551	(络活喜)苯磺酸氨氯地平片
d552	苯磺酸氨氯地平片(络活喜)
d553	苯磺酸氨氯地平片(压氏达)
d554	(施慧达)苯磺酸左旋氨氯地平片
d555	苯磺酸左旋氨氯地平片(施慧达)
d556	苯妥英钠片(大仑丁)
d557	苯妥英钠片
d558	苯溴马隆片(尤诺)
d559	苯溴马隆片
d560	阿贝他片(苯扎贝特)
d561	苯扎贝特片
d562	0.10%苯扎氯铵溶液(优可适)
d563	苯扎氯铵贴(邦迪)
d564	苯扎氯铵贴
d565	0.1%苯扎溴铵消毒液(新洁而灭)
d566	鼻康片
d567	鼻咽灵片
d568	鼻咽清毒颗粒
d569	鼻咽清毒颗粒(奇星)
d570	鼻炎片
d571	鼻炎康片
d572	鼻渊舒口服液
d573	鼻渊舒口服液(无糖型)
d574	比卡鲁胺片(康士得)
d575	康士得片(比卡鲁胺)
d576	比卡鲁胺片
d577	比沙可啶肠溶片(便塞停)
d578	比沙可啶片(便塞停)
d579	便塞停片(比沙可啶)
d580	吡贝地尔缓释片(泰舒达)
d581	泰舒达缓释片(吡贝地尔)
d582	盐酸吡格列酮片(艾可拓)
d583	盐酸吡格列酮片(艾汀)
d584	盐酸吡格列酮片(瑞彤)
d585	吡拉西坦片
d586	吡硫翁锌气雾剂(适今可)
d587	吡罗昔康贴片
d588	1%吡美莫司乳膏(爱宁达)
d589	白内停眼水
d590	吡诺克辛钠滴眼液(白内停)
d591	吡诺克辛钠眼水(白内停)
d592	吡嗪酰胺片
d593	盐酸吡柔比星针(THP)(海正)
d594	吡柔比星针(THP)
d595	盐酸吡柔比星针
d596	盐酸吡柔比星针(THP)
d597	注射用盐酸吡柔比星
d598	萆苓止带片(止带片)
d599	止带片
d600	蓖麻油
d601	痹痛胶囊
d602	长效西林(苄星青霉素)针
d603	苄星青霉素针
d604	注射用苄星青霉素
d605	标准桃金娘油肠溶胶囊(成人装)
d606	标准桃金娘油肠溶胶囊(吉诺通)
d607	艾达生(表柔比星)针
d608	盐酸表柔比星针(艾达生)
d609	注射用盐酸表柔比星(艾达生)
d610	法玛新针(表柔比星)
d611	盐酸表柔比星针(法玛新)
d612	盐酸表柔比星注射液(法玛新)
d613	复方鳖甲软肝片
d614	奥迈必利缓释胶囊
d615	奥迈必利(别嘌醇缓释胶囊)
d616	奥迈必利缓释胶囊(别嘌醇)
d617	别嘌醇缓释胶囊(奥迈必利)
d618	别嘌醇缓释胶囊
d619	别嘌醇片
d620	冰珍清目滴眼液
d621	冰珍清目滴眼液(天天明)
d622	冰栀伤痛气雾剂(伤痛一喷)
d623	丙氨酰谷氨酰胺注射液(力太)
d624	乐维静(丙泊酚注射液)
d625	丙泊酚针(得普利麻)
d626	丙泊酚注射液(得普利麻)
d627	得普利麻(丙泊酚注射液)
d628	丙泊酚针(乐维静)
d629	丙泊酚注射液(乐维静)
d630	丙硫氧嘧啶片(进口)
d631	丙基硫氧嘧啶片(PTU)
d632	丙硫氧嘧啶片
d633	丙硫氧嘧啶片(PTU)
d634	丙硫氧嘧啶片(PTU)(德国)
d635	丙酸倍氯米松气雾剂(必可酮)
d636	丙酸倍氯米松鼻气雾剂(伯克纳)
d637	丙酸氟替卡松鼻喷雾剂(辅舒良)
d638	辅舒良(丙酸氟替卡松鼻喷雾剂)
d639	丙酸氟替卡松吸入气雾剂(辅舒酮)
d640	氟替卡松气雾剂(辅舒酮)
d641	丙酸氟替卡松乳膏(克廷肤)
d642	辅舒良喷雾剂
d643	辅舒酮气雾剂
d644	丙酸睾酮针
d645	丙酸睾酮注射液
d646	丙酸氯倍他索乳膏(顺峰)(恩肤霜)
d647	丙酸氯倍他索软膏(顺峰)(恩肤霜)
d648	复方丙酸氯倍他索软膏
d649	复方丙酸氯倍他索软膏(金)
d650	(恩肤霜)丙酸氯培他索乳膏
d651	丙酸氯培他索乳膏(恩肤霜)
d652	丙酸氯培他索软膏(恩肤霜)
d653	丙戊酸钠缓释片(德巴金)
d654	丙戊酸钠针(德巴金)
d655	丙戊酸钠注射液(德巴金)
d656	德巴金缓释片
d657	德巴金缓释片(丙戊酸钠)
d658	丙戊酸钠缓释片(典泰)
d659	玻璃酸钠注射液(阿尔治)
d660	玻璃酸钠滴眼液(爱丽)
d661	玻璃酸钠眼水(爱丽)
d662	玻璃酸钠滴眼液
d663	玻璃酸钠注射液
d664	玻特利油膏
d665	盐酸博来霉素针(海正)
d666	盐酸博来霉素针
d667	补脾益肠丸
d668	补心气口服液
d669	补中益气丸(浓缩丸)
d670	0.75%盐酸布比卡因针
d671	盐酸布比卡因针
d672	盐酸布比卡因注射液
d673	布地奈德气雾剂(吉舒)
d674	布地奈德鼻喷雾剂(雷诺考特)
d675	雷诺考特鼻喷剂(布地奈德)
d676	雷诺考特鼻喷雾剂(布地奈德)
d677	普米克令舒
d678	普米克令舒混悬液(布地奈德)
d679	吸入用布地奈德混悬液(普)
d680	吸入用布地奈德混悬液(普米克)
d681	吸入用布地奈德混悬液(普米克令舒)
d682	布地奈德福莫特罗粉吸入剂(信必可都保)
d683	布地奈德福莫特罗粉吸入剂
d684	布林佐胺眼水(派立明)
d685	布林佐胺滴眼液
d686	布洛芬缓释胶囊(芬必得)
d687	芬必得胶囊(布洛芬)
d688	布洛芬混悬液(吉浩)
d689	布洛芬混悬滴剂(美林)
d690	布洛芬混悬液(美林)
d691	美林混悬液
d692	美林混悬液(布洛芬)
